,Year,Aruba,Africa Eastern and Southern,Afghanistan,Africa Western and Central,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czechia,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People's Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkiye,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1,1960,,,,,,,,,,,,,,3.7288136,1.9457494,,,0.29946727,,7.788162,,,,,,,,,11.533153,,,,,,,1.3586956,,1.4387947,,,,,,,,5.8140764,,,0.79020584,,,,,0.8273009,,1.5366116,,,1.2552301,-3.5621917,,,,,,,1.6765991,0.33282906,1.7411804,,1.1777711,,,1.7411804,,3.4181273,,4.139936,,,,1.0035757,,,,,,,,1.4778476,,,-1.1906931,,,,,-1.7462381,,,-5.0300417,,,,,,39.590443,,,1.7798779,,0.45083725,9.822411,3.4782379,1.9883972,2.2281125,2.3501613,3.274249,,3.5745115,,1.2437811,,,,,7.9655657,,2.266871,,,,,,,,,,-1.5446768,,,,,,0.4496203,,,,3.424299,,,,,,4.927519,,,,,3.3846154,7.389937,,,,,,,,,0.0631826,1.4083358,,,,5.4443274,,2.3239436,0.36049235,,,0.69792926,1.9457494,,,6.9473686,0.051177073,8.664459,4.154822,,,,,,,3.0465927,8.181818,,,1.5366116,,,,,,,,0.09224029,,,,,-0.0389742,,,,,,,,,2.857143,,,4.141779,,,,5.1189094,,,,,,-0.7658643,,,2.08,,,,,,2.08,,5.66474,,,,,,38.504036,1.457976,,,,,,,,,,,,1.288859,,
2,1961,,,,,,,,,,,,,,2.2875817,3.54224,,,0.99267626,,18.56214,,,,,,,,,7.561493,,,,,,,1.0187668,,1.8453978,,,,11.616492,,,,8.283191,,,2.430794,,,,,-0.61538464,,2.293676,,,3.4516287,-3.9,,,,,,,3.9856205,0.69360673,1.8708496,,0.80925286,,,2.0771384,,1.6910019,,2.400461,,,,3.4474962,,,,,,,,2.1035793,,,-0.55333537,,,,,1.5629923,,,3.7797065,,,,,,13.691932,,,1.695213,,2.7569993,3.1625643,0.9162604,4.711615,6.7898235,2.0506973,6.6984506,,5.3684616,,2.4570024,,,,,8.195653,,3.1052501,,,,,,,,,,1.1344436,,,,,,0.4824336,,,,1.7631246,,,,,,1.6087596,,,,,2.5113215,-0.14641288,,,,,,,,,-0.18040772,1.0447454,,,,6.279147,,1.3076394,2.1551728,,,1.7977043,2.157973,,,1.64042,0.6138107,5.916709,1.595633,,,,,,,1.5489969,18.487394,,,2.0771384,,,,,,,,8.760511,,0.4,,,-2.6824703,,,,,,,,,1.7094017,,,2.157973,,,,1.9588909,,,,,,7.38699,,,2.430794,,,,,,1.5227576,,3.172857,,,,,,22.747265,1.0707241,,,,,,,,,,,,2.102374,,
3,1962,,,,,,,,,,,,,,-0.31948882,4.3817987,,,1.404607,,1.6759095,,,,,,,,,5.8793316,,,,,,,1.0615711,,4.315993,,,,-1.3412489,,,,4.697094,,,2.6778598,,,,,0.10319918,,2.84328,,,7.3778195,9.157128,,,,,,,2.8708854,-3.0030766,2.7526722,,5.706477,,,3.5535035,,4.3839827,,5.33128,,,,4.196499,,,,,1.7876179,,,-0.47542828,,,2.0525503,,,,,1.0921502,,,-0.5549043,,,,,,131.39784,,,3.632215,,4.263727,0.72132057,1.2923622,11.016293,9.408195,4.6911435,1.4075067,,6.83544,,3.117506,,,,,6.618311,,2.0766952,,,,,,,,,,1.50358,,,,,,0.8959466,,,,5.0967293,,,,,,1.1989841,,,,,0.16867469,-1.6129032,,,,,,,,,0.108440265,1.1301723,,,,5.265632,,2.4311225,5.2742596,,,2.680854,4.263727,,,-0.5164622,0.788002,6.6410933,5.7966523,,,,,,,2.662064,1.4184397,,,3.5198896,,,,,,,,1.6628714,,0.41958043,,,0.09615385,,,,,,,,,2.1008403,,,4.766197,,,,-3.8461537,,,,,,3.6960986,,,2.1008403,,,,,,2.9833527,,3.8883202,,,,,,10.907424,1.1987734,,,,,,,,,2.6548672,,,1.2462853,,
4,1963,,,,,,,,,,,,,,0.64102566,2.708767,,,2.1480033,,5.574203,,,,,,,,,-0.70635724,,,,,,,1.6281513,,3.440213,,,,0.9434663,,,,26.355436,,,2.9316185,,,,,1.9587629,,2.966961,,,6.105033,8.579599,,,,,,,5.939509,0.7466457,2.9216416,,8.743698,,,2.9216416,,4.9963818,,4.9991527,,,7.1583333,2.0185435,,,,,4.6161284,,,3.1846628,,,0.1514509,,,,,3.081456,,,4.306822,,,,,,145.91078,,,2.9461613,,2.4536207,0.3718496,3.9549575,12.928023,6.581137,7.454718,1.7625028,,6.7069054,,0.6976744,,,,,20.691647,,2.5147603,,,,,,,,,,2.2729053,,,,,,2.8763225,,,,5.699712,,,,,,0.594055,,,,,1.8763531,-2.6825633,,,,,,,,,3.1052537,1.4339104,,,,-2.6946554,,3.2436473,2.4716105,,,1.9684985,2.966961,,,1.4564885,0.4498875,6.0701437,5.6255493,,,,,,,2.0215828,2.097902,,,2.8740313,,,,,,,,4.6882324,,2.2051997,,,1.5690042,,,,,,,,,2.0576131,,,2.8717403,,,,1.9166666,,,,,,0.0,,,2.9316185,,,,,,3.7612035,,6.362707,,,,,,21.254696,1.2396694,,,,,,,,,0.6896552,,,1.3379697,,
5,1964,,,,,,,,,,,,,,2.866242,3.8685637,,,4.168761,,1.8451232,,,,,,,,,10.181818,,,,,,,1.9121447,,3.0805569,,,,0.6181925,,35.421066,,17.072435,,,3.3240333,,,,,-0.3033367,,2.3357282,,,3.0927835,2.1071115,,,,,,,4.0342045,3.6609828,3.6567311,,6.9792466,,,3.4162805,,10.275861,,3.2111917,,,3.328408,3.281587,,,,,-4.5356536,,,0.61730295,,,-0.193564,,,,,4.4721017,,,9.162146,,,,,,108.994705,,,13.355261,,6.71729,3.8144896,-0.09013652,19.245054,5.1727505,5.9123225,2.0134227,,3.8003895,,-0.09930487,,,,,29.462831,,3.6791189,,,,,,,,,,3.1956472,,,,,,3.0963814,,,,4.0215416,,,,,,2.3379033,,,,,2.180244,-0.45941806,,,,,,,1.8955742,,-0.40273157,1.5955281,,,1.004016,0.85679317,,5.823768,5.8670154,,,3.4749055,3.4448984,,,4.179587,2.4135356,9.792285,8.183079,,,,,,,3.4448984,1.369863,,,3.3346245,,,,,,,2.8,3.9508383,,1.7260958,,,1.7575662,,,,,,,,,4.233871,,,3.3876624,,,,5.396566,,,,,,-0.7920792,,,3.3240333,,,,,,0.8637976,,1.1196378,,,,,,42.369415,1.2789116,,,,,,,,,5.308219,,,2.534973,,
6,1965,,,,,,,,,,,,,,3.4055727,4.9309163,,,4.0652013,,-0.7302525,,,,,,,,,2.860286,,,,,,,2.332657,,3.4144785,,,,2.611176,,-2.7269802,,7.5906835,,,-0.665,,,,,0.20283976,,3.2423294,,,5.45,-1.8916595,,,,,,,3.0690706,14.8390045,3.6664827,,13.214138,,,3.9866197,,4.940588,,2.7031045,,,2.4384737,4.7737746,,26.444784,,,1.2180367,,,3.2208724,,,-0.8,,,,,3.1862745,,,2.2639425,,,,,,306.76312,,,9.474758,,4.9881234,2.1543748,-0.45558086,7.3170695,7.7083335,4.5192685,2.631579,,6.655991,,3.578529,,,,,13.548195,,2.7459326,,,,11.425,,,,,,0.22278331,,,,,,3.3336794,,,,3.4828212,,,4.2018604,,,3.5680387,,,,,1.6022185,17.692308,,,,,,,1.785566,,-0.10548523,1.9589132,,,4.3737574,4.103459,,3.908038,4.1872244,8.471869,,3.3974898,4.1872244,,,5.5686355,0.4616132,16.389961,2.5641026,,,,,,,3.4249277,3.8592982,,,3.6664827,,,,,,7.020252,0.38910505,-2.4460294,,0.1786113,,,0.4569747,,,,,,,,,1.9342359,,,5.012771,,,,-3.8789759,,,,,,0.166334,,,2.631579,,2.818598,,7.020252,,1.781618,,4.555534,,,,,,56.556557,1.5851693,,,,,,,,,2.113821,,,4.069029,,
7,1966,,,,,,,,,,,,,,3.2934132,2.0548205,,4.43686,4.1743474,,2.364106,,,2.1344717,,,,,,6.951872,,,,,,,3.815659,,4.7759795,,,,4.191318,,15.780101,,16.728168,,,0.18288283,,,,,0.5060729,,3.5330586,,,7.0649595,0.26292726,,,4.4798107,,,,5.453727,9.036441,3.4323692,,6.240367,,-1.3618677,3.7033563,,3.8736541,,2.6020007,,,3.6441114,3.909618,,13.237885,,,0.23908192,,,4.903416,,,0.684262,,,,,1.7842346,,,8.301836,,,,,,1136.2542,,,10.801848,,3.0542986,-0.38814855,1.9832189,10.686643,7.9303675,2.3465889,1.9023987,,5.040832,,5.014395,,,,,11.261385,,2.8731942,,,,12.242914,2.4790084,,,,,-0.15560167,,,,,,3.3316798,,,,-1.0135794,,,3.211574,,,4.2157884,,,,,0.52312356,25.490196,,,,,,,2.5048954,,0.967969,3.4153671,,,10.571428,9.690346,,5.7621403,3.2505634,14.38897,,2.7554808,4.1743474,,,7.2276216,0.19347037,8.840604,5.4,,,,,,,5.039267,2.8731942,,,3.8446565,,,,,,9.014735,1.5503876,1.7124631,,2.0057945,,,-1.1873554,,,,,,,,,4.743833,,,6.404808,3.177521,,,3.7933817,,,,,,4.0352044,,,3.483776,,2.8883004,,9.014735,,4.094358,,8.471996,,9.777016,,,,73.46269,3.0150754,,,,,,,,,2.866242,,,3.4892337,,
8,1967,,,,,,,,,,,,,,3.4782608,3.974673,,-1.0893246,2.7303026,,-4.333754,,,4.258098,5.4377565,,,,,11.2,,3.634875,,,,,3.5799522,,4.005196,,,,2.291852,,36.926525,,8.328192,,,1.2083403,3.207179,,,,0.70493454,,1.7960455,,0.95245653,8.207853,1.238345,,,1.9777416,,,,3.8181381,0.7018975,2.987546,,6.391631,,0.8086785,3.3193235,,5.377782,,2.7917771,,,1.9777416,2.4821155,,-8.422486,,,1.4072189,,,1.841357,,,0.4854369,,,,,2.091841,,,-2.935311,,,,,,106.0,,,13.062202,,3.183315,1.5976101,3.2909498,3.3202186,1.7060932,3.7333384,3.023539,,3.9898481,,1.7591958,,,,,10.88244,,2.5543947,,,,7.2961087,3.207179,3.0169485,,,,2.1892393,,,,,,2.166157,,,,-0.748277,,,0.8151904,,,3.0169485,,,,,0.69386834,0.8333333,,,,,,,1.8785322,,4.575562,3.176369,,,0.43066323,-3.7263367,,3.4553323,4.57927,-2.8083315,,6.05692,3.5799522,,,6.8113995,1.3758147,9.783603,6.253953,,,,,,,5.526476,1.3652676,,,3.634875,,,,,1.4529274,4.5003195,2.0992367,11.013556,,3.3428009,,,1.4669163,,,,,,,,,10.688406,,,4.289319,1.8240434,,,6.454121,,,,,-2.3188405,4.3096566,,,2.1362586,,2.44428,,4.5003195,,2.1362586,,13.974893,,12.1875,,,,89.2753,2.7727857,,,,,,,,,-0.51599586,,,3.5389915,,
9,1968,,,,,,,,,,,,,,2.5210085,2.7648644,,6.0572686,2.7014499,,-0.2867137,,,3.257329,4.5410314,,,,,5.4706235,,7.4887433,,,,,4.0552998,,2.3958223,,,,5.350455,,53.321674,,7.447539,,,4.0938916,5.369919,,,,3.7666667,,1.4703044,,5.369919,8.005207,0.0359764,,,2.079222,,,,4.317656,-1.6757594,3.2428288,,4.954366,,0.18261267,3.2428288,,9.191668,,4.543205,,,2.335604,4.6974277,,7.894737,,,4.1787534,,,0.13906059,,,1.9263285,,,,,1.8612245,,,1.3162118,,,,,,128.84305,,,3.2374125,,4.680851,0.69036055,2.196476,15.231798,2.079222,1.2773134,5.928698,,5.339433,,0.36671156,,,,,10.771821,,3.2535675,,,,0.39123145,3.969454,4.0938916,,,,5.8605666,,,,,,2.6254292,,,,0.43647906,,,0.95651317,,,2.333951,,,,,2.0373006,2.376033,,,,,,,6.9771075,,-0.15834653,4.163548,,,-2.9230988,-0.47605905,,3.7207932,3.4482932,1.17987,,4.311925,4.0938916,,,0.17062736,1.6190476,19.086618,2.3588064,,,,,,,6.081362,0.70807356,,,3.7207932,,,,,3.161937,2.2086413,1.588785,-10.0338955,0.058333334,0.6553911,,,2.5376806,,,,,,,,,0.16366611,,,1.9431258,3.449425,,,2.8487947,,,,,0.2967359,1.7903596,,,3.969454,,0.5634198,,2.2086413,,8.232052,,6.04624,,15.598886,,,,125.33699,4.271796,,,,,,,,,1.7116183,,,1.9861355,,
10,1969,,,,,,,,,,,,,,3.2786884,3.0804043,,4.023884,3.7539923,,9.655529,,,-0.19412763,8.935774,,,,,2.2097485,,5.835232,,,,,4.5615587,,2.489036,,,,4.4502287,-1.1015912,6.1761956,,6.981663,,,2.629341,5.835232,,,,2.385159,,1.9126639,,4.215789,3.4879193,0.9566281,,,2.9751391,,,,6.3266816,3.4098203,2.6480856,,2.1603472,,1.4256884,2.6746237,,2.205611,,6.045963,,,2.9751391,5.446664,,7.3170733,,,5.012041,,,2.6389186,,,2.0972807,,,,,1.2582145,,,1.4131812,,,,,,15.47987,,,-0.5841366,,7.4186993,3.5931945,5.7392535,21.763294,2.4580543,2.6572528,6.3034587,,5.2498207,,-0.17150101,,,,,12.3895645,,2.4418612,,,,9.785971,2.2543814,2.629341,,,,7.4569526,,,,,,2.2944343,,,,2.9498913,,,3.828873,,,3.3670034,,,,,2.3342876,-4.3390512,,,,,,,2.3152206,,-0.40901503,5.0119724,,,10.64566,10.155979,,7.42179,2.9629495,4.0575914,,4.9252424,3.4879193,,,3.1869867,1.8275539,6.236158,1.9555104,,,,,,,8.782771,2.2468476,,,3.2786884,,,,,0.48493955,3.6222892,3.49586,12.606869,4.0226536,-0.2730519,,,-0.19499025,,,,,,,,,11.274509,,,2.6919947,3.2055411,,,-1.9886364,,,,,6.015779,2.4503908,,,2.4352026,,3.5015073,,3.6222892,,2.4352026,,4.924194,,16.415663,,,,20.966667,5.462386,,,,,,,,,4.1305456,,,3.2382245,,
