,Month,Sales,mR
0,Jan,10.7,
1,Feb,13.0,2.3000000000000007
2,Mar,11.4,1.5999999999999996
3,Apr,11.5,0.09999999999999964
4,May,12.5,1.0
5,Jun,14.1,1.5999999999999996
6,Jul,14.8,0.7000000000000011
7,Aug,14.1,0.7000000000000011
8,Sep,12.6,1.5
9,Oct,16.0,3.4000000000000004
10,Nov,11.7,4.300000000000001
11,Dec,10.6,1.0999999999999996
