Group ,Year,Rate with Taxes and Transfers (%)
Children (<18),2010,17.20
Children (<18),2011,17.20
Children (<18),2012,18.10
Children (<18),2013,17.20
Children (<18),2014,17.50
Children (<18),2015,16.70
Children (<18),2016,15.60
Children (<18),2017,15.60
Children (<18),2018,13.10
Children (<18),2019,11.40
Children (<18),2020,8.60
